source_id,input_index,capability,kind,origin_path,origin_version,source_path,source_sha256,observed_implementation,observed_wiring,destination,integration_approach,proposed_route,human_access,agent_access,dependencies,missing_information,required_verification,next_action
cap-d7434a752fc960787e70,0,case-law-researcher,agent,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\agents\case-law-researcher.md,1227eda3ca6881eff3ab1d0d239c58252d741e2e5db3e5c011611f30136260f7,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,method,adapt,"Adapt case-law-researcher as a versioned, human-invoked workflow method with a readable resource companion; preserve the source role, variant, prompt content and provenance, and require an explicit human decision before downstream use.","User starts the role method from a case task, reads the companion guidance, supplies scoped facts and sources, reviews the work product, and records accept/reject and disposition.","Agent may draft or organize the bounded role output under an allowlisted scope and must return source links, uncertainty, unsupported assertions, and a review disposition; it cannot decide legal sufficiency or file.",role prompt/procedure content; case/source scope; approved tools; human review policy; audit receipt,complete prompt text and tool allowlist; host adapter contract; output schema; safety fixtures,Check structure/method; citations/legal sources; factual evidence support; substantive reasoning/requested relief; compare role content to source; test tool/refusal boundaries and human approval with a representative fixture.,"Define the case-law-researcher method contract and readable companion, then fixture-test scoped drafting, review, and refusal behavior."
cap-a40ecf7176a18e5558f9,1,custody-support,agent,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\agents\custody-support.md,81e02d05ddd00097f6531671bfa0ec62999eaa9f4caf127c0e5f3fcb4c282a18,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,method,adapt,"Adapt custody-support as a versioned, human-invoked workflow method with a readable resource companion; preserve the source role, variant, prompt content and provenance, and require an explicit human decision before downstream use.","User starts the role method from a case task, reads the companion guidance, supplies scoped facts and sources, reviews the work product, and records accept/reject and disposition.","Agent may draft or organize the bounded role output under an allowlisted scope and must return source links, uncertainty, unsupported assertions, and a review disposition; it cannot decide legal sufficiency or file.",role prompt/procedure content; case/source scope; approved tools; human review policy; audit receipt,complete prompt text and tool allowlist; host adapter contract; output schema; safety fixtures,Check structure/method; citations/legal sources; factual evidence support; substantive reasoning/requested relief; compare role content to source; test tool/refusal boundaries and human approval with a representative fixture.,"Define the custody-support method contract and readable companion, then fixture-test scoped drafting, review, and refusal behavior."
cap-974eb95e2516c65f7bc6,2,evidence-organizer,agent,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\agents\evidence-organizer.md,b0f44a9e3cb30cc2ec4730866b8778552a0d9cec82482e876d902ee9dadba85f,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,method,adapt,"Adapt evidence-organizer as a versioned, human-invoked workflow method with a readable resource companion; preserve the source role, variant, prompt content and provenance, and require an explicit human decision before downstream use.","User starts the role method from a case task, reads the companion guidance, supplies scoped facts and sources, reviews the work product, and records accept/reject and disposition.","Agent may draft or organize the bounded role output under an allowlisted scope and must return source links, uncertainty, unsupported assertions, and a review disposition; it cannot decide legal sufficiency or file.",role prompt/procedure content; case/source scope; approved tools; human review policy; audit receipt,complete prompt text and tool allowlist; host adapter contract; output schema; safety fixtures,Check structure/method; citations/legal sources; factual evidence support; substantive reasoning/requested relief; compare role content to source; test tool/refusal boundaries and human approval with a representative fixture.,"Define the evidence-organizer method contract and readable companion, then fixture-test scoped drafting, review, and refusal behavior."
cap-bd325529725ddaf905db,3,evidence-tech,agent,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\agents\evidence-tech.md,18fb68400d8e072ede281d2bc8d7dc9e4151f127781aabd6417721c215fe40c5,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,method,adapt,"Adapt evidence-tech as a versioned, human-invoked workflow method with a readable resource companion; preserve the source role, variant, prompt content and provenance, and require an explicit human decision before downstream use.","User starts the role method from a case task, reads the companion guidance, supplies scoped facts and sources, reviews the work product, and records accept/reject and disposition.","Agent may draft or organize the bounded role output under an allowlisted scope and must return source links, uncertainty, unsupported assertions, and a review disposition; it cannot decide legal sufficiency or file.",upstream custody/extraction record; source and hash identity; review policy; legal workspace case context,exact upstream custody schema; supported artifact classes; exhibit numbering authority; redaction policy,Check structure/method; citations/legal sources; factual evidence support; substantive reasoning/requested relief; compare role content to source; test tool/refusal boundaries and human approval with a representative fixture.,"Define the evidence-tech method contract and readable companion, then fixture-test scoped drafting, review, and refusal behavior."
cap-e7a87bb49e6345616049,4,family-court-document-drafter,agent,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\agents\family-court-document-drafter.md,3b19223a0c7a7c79e3733368c173e9562b9d356b34735b399d920f5ea4aa775f,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,method,adapt,"Adapt family-court-document-drafter as a human-reviewed drafting/routing method with a readable resource companion; preserve source-marked content, variant provenance, and explicit boundaries around informational drafts and requested relief.","User selects the method, supplies the matter scope and source materials, reviews the draft or route, and accepts, rejects, or revises each substantive result before export.","Agent may prepare a source-marked draft or procedural route and critique gaps; it must link authorities and facts, flag uncertainty, and avoid claims of legal sufficiency, court acceptance, or filing.",matter/case scope; verified authority; evidence ledger; document template; review and export policy,document-specific schema and required fields; jurisdiction/court selection; authority freshness rule; factual-support and relief mapping; variant divergence,Check structure/method (required sections and template); citations/legal sources (current primary authority and pinpoints); factual evidence support (each material assertion traceable or flagged); substantive reasoning/requested relief (requested relief matches supported analysis); test source-marked draft and refusal fixture.,"Define the family-court-document-drafter method/companion contract and fixture-test source-marked drafting, factual support, and relief review."
cap-84fc88d0f940d3107d5f,5,forensic,agent,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\agents\forensic.md,db1ceca1ce9949a15a99124f8fa6db7420e2820503d661806117a96686261ff7,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,method,adapt,"Adapt forensic as a versioned, human-invoked workflow method with a readable resource companion; preserve the source role, variant, prompt content and provenance, and require an explicit human decision before downstream use.","User starts the role method from a case task, reads the companion guidance, supplies scoped facts and sources, reviews the work product, and records accept/reject and disposition.","Agent may draft or organize the bounded role output under an allowlisted scope and must return source links, uncertainty, unsupported assertions, and a review disposition; it cannot decide legal sufficiency or file.",role prompt/procedure content; case/source scope; approved tools; human review policy; audit receipt,complete prompt text and tool allowlist; host adapter contract; output schema; safety fixtures,Check structure/method; citations/legal sources; factual evidence support; substantive reasoning/requested relief; compare role content to source; test tool/refusal boundaries and human approval with a representative fixture.,"Define the forensic method contract and readable companion, then fixture-test scoped drafting, review, and refusal behavior."
cap-cdde85dedf8947155534,6,litigation,agent,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\agents\litigation.md,45355740ddea3837b2544fbeece0a02a14da7c3ad6244fee7fd8d99e50577920,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,method,adapt,"Adapt litigation as a versioned, human-invoked workflow method with a readable resource companion; preserve the source role, variant, prompt content and provenance, and require an explicit human decision before downstream use.","User starts the role method from a case task, reads the companion guidance, supplies scoped facts and sources, reviews the work product, and records accept/reject and disposition.","Agent may draft or organize the bounded role output under an allowlisted scope and must return source links, uncertainty, unsupported assertions, and a review disposition; it cannot decide legal sufficiency or file.",role prompt/procedure content; case/source scope; approved tools; human review policy; audit receipt,complete prompt text and tool allowlist; host adapter contract; output schema; safety fixtures,Check structure/method; citations/legal sources; factual evidence support; substantive reasoning/requested relief; compare role content to source; test tool/refusal boundaries and human approval with a representative fixture.,"Define the litigation method contract and readable companion, then fixture-test scoped drafting, review, and refusal behavior."
cap-fd708bbc3a6762219085,7,michigan-law,agent,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\agents\michigan-law.md,a77f4cca6bf7f9a5a9ccb7c3d79cec11c2f7592542357138a6ba4a6c7ffed17a,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,method,adapt,"Adapt michigan-law as a versioned, human-invoked workflow method with a readable resource companion; preserve the source role, variant, prompt content and provenance, and require an explicit human decision before downstream use.","User starts the role method from a case task, reads the companion guidance, supplies scoped facts and sources, reviews the work product, and records accept/reject and disposition.","Agent may draft or organize the bounded role output under an allowlisted scope and must return source links, uncertainty, unsupported assertions, and a review disposition; it cannot decide legal sufficiency or file.",role prompt/procedure content; case/source scope; approved tools; human review policy; audit receipt,complete prompt text and tool allowlist; host adapter contract; output schema; safety fixtures,Check structure/method; citations/legal sources; factual evidence support; substantive reasoning/requested relief; compare role content to source; test tool/refusal boundaries and human approval with a representative fixture.,"Define the michigan-law method contract and readable companion, then fixture-test scoped drafting, review, and refusal behavior."
cap-9f3c54db126bf57df263,8,michigan-source-verifier,agent,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\agents\michigan-source-verifier.md,a3dabeb7d8429d75e8842d885f8d91058833236fbc542e7c7e250457520a626e,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,method,adapt,"Adapt michigan-source-verifier as a versioned, human-invoked workflow method with a readable resource companion; preserve the source role, variant, prompt content and provenance, and require an explicit human decision before downstream use.","User starts the role method from a case task, reads the companion guidance, supplies scoped facts and sources, reviews the work product, and records accept/reject and disposition.","Agent may draft or organize the bounded role output under an allowlisted scope and must return source links, uncertainty, unsupported assertions, and a review disposition; it cannot decide legal sufficiency or file.",role prompt/procedure content; case/source scope; approved tools; human review policy; audit receipt,complete prompt text and tool allowlist; host adapter contract; output schema; safety fixtures,Check structure/method; citations/legal sources; factual evidence support; substantive reasoning/requested relief; compare role content to source; test tool/refusal boundaries and human approval with a representative fixture.,"Define the michigan-source-verifier method contract and readable companion, then fixture-test scoped drafting, review, and refusal behavior."
cap-6c6b9c54dc0d415aadcd,9,discovery,command,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\commands\discovery.md,1995d6adb6c7c1b3e5431442b1c1cc60b6bed1030e3496a959b17d9d1549083f,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,import_reconcile,Advocatio guidance resource command/discovery; preserve source version and expose a reviewed workflow entry.,"Open the command/discovery guidance card, supply explicit case and source scope, then approve a proposed workflow.",Role-scoped agent may retrieve command/discovery guidance and draft a proposal; execution requires selected tools and human approval.,versioned prompt/resource registry; case scope; role and tool policy,"Advocatio command runner, input schema, and referenced tool allowlist are unconfirmed.",Compare command/discovery prompt inputs and outputs with a synthetic fixture; confirm provenance and refusal behavior.,Extract command/discovery into a versioned resource and define its bounded workflow adapter.
