source_id,input_index,capability,kind,origin_path,origin_version,source_path,source_sha256,observed_implementation,observed_wiring,destination,integration_approach,proposed_route,human_access,agent_access,dependencies,missing_information,required_verification,next_action
cap-6c6b9c54dc0d415aadcd,9,discovery,command,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\commands\discovery.md,1995d6adb6c7c1b3e5431442b1c1cc60b6bed1030e3496a959b17d9d1549083f,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,import_reconcile,Advocatio guidance resource command/discovery; preserve source version and expose a reviewed workflow entry.,"Open the command/discovery guidance card, supply explicit case and source scope, then approve a proposed workflow.",Role-scoped agent may retrieve command/discovery guidance and draft a proposal; execution requires selected tools and human approval.,versioned prompt/resource registry; case scope; role and tool policy,"Advocatio command runner, input schema, and referenced tool allowlist are unconfirmed.",Compare command/discovery prompt inputs and outputs with a synthetic fixture; confirm provenance and refusal behavior.,Extract command/discovery into a versioned resource and define its bounded workflow adapter.
cap-37596cca1ee4234b3102,10,evidence,command,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\commands\evidence.md,a9467ecbe945ae6ec939b6a46b33f3592951db9856d3ddc53c3f94c60a83f7a8,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,import_reconcile,Advocatio guidance resource command/evidence; preserve source version and expose a reviewed workflow entry.,"Open the command/evidence guidance card, supply explicit case and source scope, then approve a proposed workflow.",Role-scoped agent may retrieve command/evidence guidance and draft a proposal; execution requires selected tools and human approval.,versioned prompt/resource registry; case scope; role and tool policy,"Advocatio command runner, input schema, and referenced tool allowlist are unconfirmed.",Compare command/evidence prompt inputs and outputs with a synthetic fixture; confirm provenance and refusal behavior.,Extract command/evidence into a versioned resource and define its bounded workflow adapter.
cap-7aecbbc696f686fe9e58,11,family-court,command,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\commands\family-court.md,65e2b7476804b51c5657c1b32b43b428e119eddf24217ca5b04c2cf0cfe4d55e,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,import_reconcile,Advocatio guidance resource command/family-court; preserve source version and expose a reviewed workflow entry.,"Open the command/family-court guidance card, supply explicit case and source scope, then approve a proposed workflow.",Role-scoped agent may retrieve command/family-court guidance and draft a proposal; execution requires selected tools and human approval.,versioned prompt/resource registry; case scope; role and tool policy,"Advocatio command runner, input schema, and referenced tool allowlist are unconfirmed.",Compare command/family-court prompt inputs and outputs with a synthetic fixture; confirm provenance and refusal behavior.,Extract command/family-court into a versioned resource and define its bounded workflow adapter.
cap-ac2ebf12a9196bfba15d,12,hearing,command,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\commands\hearing.md,9eb92fe8ea2141d94ae4ed195b3a4fb14ffa51f29b5b7b35fca3daa4436c29c8,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,import_reconcile,Advocatio guidance resource command/hearing; preserve source version and expose a reviewed workflow entry.,"Open the command/hearing guidance card, supply explicit case and source scope, then approve a proposed workflow.",Role-scoped agent may retrieve command/hearing guidance and draft a proposal; execution requires selected tools and human approval.,versioned prompt/resource registry; case scope; role and tool policy,"Advocatio command runner, input schema, and referenced tool allowlist are unconfirmed.",Compare command/hearing prompt inputs and outputs with a synthetic fixture; confirm provenance and refusal behavior.,Extract command/hearing into a versioned resource and define its bounded workflow adapter.
cap-7952363f52c6d3fe6e92,13,motion,command,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\commands\motion.md,1935a6cb870e880b8406f55910a291b88c1c786e6eed3d2068b89175ee6b06f3,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,import_reconcile,Advocatio guidance resource command/motion; preserve source version and expose a reviewed workflow entry.,"Open the command/motion guidance card, supply explicit case and source scope, then approve a proposed workflow.",Role-scoped agent may retrieve command/motion guidance and draft a proposal; execution requires selected tools and human approval.,versioned prompt/resource registry; case scope; role and tool policy,"Advocatio command runner, input schema, and referenced tool allowlist are unconfirmed.",Compare command/motion prompt inputs and outputs with a synthetic fixture; confirm provenance and refusal behavior.,Extract command/motion into a versioned resource and define its bounded workflow adapter.
cap-e4c503cb7ecb98cd99d2,14,packet,command,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\commands\packet.md,04ad2c3a6d9749b3774eef0489e30f3ed97df46d5bc6fbfc496611025af4ed0a,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,import_reconcile,Advocatio guidance resource command/packet; preserve source version and expose a reviewed workflow entry.,"Open the command/packet guidance card, supply explicit case and source scope, then approve a proposed workflow.",Role-scoped agent may retrieve command/packet guidance and draft a proposal; execution requires selected tools and human approval.,versioned prompt/resource registry; case scope; role and tool policy,"Advocatio command runner, input schema, and referenced tool allowlist are unconfirmed.",Compare command/packet prompt inputs and outputs with a synthetic fixture; confirm provenance and refusal behavior.,Extract command/packet into a versioned resource and define its bounded workflow adapter.
cap-6e0c6e4ff50e2198c7fd,15,verify-sources,command,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\commands\verify-sources.md,e4414b62d29d3188a674169d0f1af6ade5a0cd5b7145d59dd788204f407520b7,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,import_reconcile,Advocatio guidance resource command/verify-sources; preserve source version and expose a reviewed workflow entry.,"Open the command/verify-sources guidance card, supply explicit case and source scope, then approve a proposed workflow.",Role-scoped agent may retrieve command/verify-sources guidance and draft a proposal; execution requires selected tools and human approval.,versioned prompt/resource registry; case scope; role and tool policy,"Advocatio command runner, input schema, and referenced tool allowlist are unconfirmed.",Compare command/verify-sources prompt inputs and outputs with a synthetic fixture; confirm provenance and refusal behavior.,Extract command/verify-sources into a versioned resource and define its bounded workflow adapter.
cap-9dd79f58a7d2e5244725,63,open_dashboard,mcp_tool,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\mcp-app\src\server.ts,67c4449fa57497835442a341bdc2ac8c79c30b55f427fc311cb16f656ff6e4bf,registered handler and implementation source present,registered in buildServer; stdio manifest declared; live call not exercised,mcp_tool,reuse_connection,"Expose toolkit/open_dashboard through the shared invocation adapter only after Task F proves the current server route, schema, auth, and operation scope.","Use the tool browser to select toolkit/open_dashboard, review its schema and context, and run only the displayed scoped call.",Permitted role can invoke toolkit/open_dashboard through the same adapter; writes require operation-level policy and recorded provenance.,Task F current-route proof; MCP client adapter; schema registry; connection identity; case/source context; audit receipt,"Current endpoint, protocol/auth compatibility, live capability discovery, and action-level read/write behavior remain unproven.","After Task F route proof, discover toolkit/open_dashboard, validate schema and authorization, run one approved isolated synthetic read, and test tool-error, timeout, and unavailable-connection handling.","Reconcile toolkit/open_dashboard's current route and read contract, then gate the method on Task F connection evidence."
cap-4069598bca05ff219632,64,route_issue,mcp_tool,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\mcp-app\src\server.ts,67c4449fa57497835442a341bdc2ac8c79c30b55f427fc311cb16f656ff6e4bf,registered handler and implementation source present,registered in buildServer; stdio manifest declared; live call not exercised,mcp_tool,reuse_connection,"Expose toolkit/route_issue through the shared invocation adapter only after Task F proves the current server route, schema, auth, and operation scope.","Use the tool browser to select toolkit/route_issue, review its schema and context, and run only the displayed scoped call.",Permitted role can invoke toolkit/route_issue through the same adapter; writes require operation-level policy and recorded provenance.,Task F current-route proof; MCP client adapter; schema registry; connection identity; case/source context; audit receipt,"Current endpoint, protocol/auth compatibility, live capability discovery, and action-level read/write behavior remain unproven.","After Task F route proof, discover toolkit/route_issue, validate schema and authorization, run one approved isolated synthetic read, and test tool-error, timeout, and unavailable-connection handling.","Reconcile toolkit/route_issue's current route and read contract, then gate the method on Task F connection evidence."
cap-d292523e88488833c4fc,65,calculate_planning_date,mcp_tool,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\mcp-app\src\server.ts,67c4449fa57497835442a341bdc2ac8c79c30b55f427fc311cb16f656ff6e4bf,registered handler and implementation source present,registered in buildServer; stdio manifest declared; live call not exercised,mcp_tool,reuse_connection,"Expose toolkit/calculate_planning_date through the shared invocation adapter only after Task F proves the current server route, schema, auth, and operation scope.","Use the tool browser to select toolkit/calculate_planning_date, review its schema and context, and run only the displayed scoped call.",Permitted role can invoke toolkit/calculate_planning_date through the same adapter; writes require operation-level policy and recorded provenance.,Task F current-route proof; MCP client adapter; schema registry; connection identity; case/source context; audit receipt,"Current endpoint, protocol/auth compatibility, live capability discovery, and action-level read/write behavior remain unproven.","After Task F route proof, discover toolkit/calculate_planning_date, validate schema and authorization, run one approved isolated synthetic read, and test tool-error, timeout, and unavailable-connection handling.","Reconcile toolkit/calculate_planning_date's current route and read contract, then gate the method on Task F connection evidence."
