source_id,input_index,capability,kind,origin_path,origin_version,source_path,source_sha256,observed_implementation,observed_wiring,destination,integration_approach,proposed_route,human_access,agent_access,dependencies,missing_information,required_verification,next_action
cap-eae9bedb1548e956b69d,90,release-status,mcp_resource,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\mcp-app\src\server.ts,67c4449fa57497835442a341bdc2ac8c79c30b55f427fc311cb16f656ff6e4bf,registered callback present,registered in server; live resource/prompt listing not exercised,resource,expose_implementation,GET /v1/mcp/resources?uri=custody://release-status&source_id=cap-eae9bedb1548e956b69d; POST /v1/mcp/resources/read,Phone: open the resource by URI in the Advocatio resource browser and inspect version/provenance.,Scoped agent resource read by authorized URI through the shared MCP client; resource listing/read must be exercised.,Registered MCP server/connection and URI contract; Task F remote identity/hash reconciliation pending.,"Live listing/read result, payload hash and remote registration parity are not independently verified here.","Task F compare remote resource identity/version/hash, then exercise GET listing and authorized POST read with provenance.","Task F reconcile remote resource by URI/ID/hash, then verify listing/read contract before exposing it in Advocatio."
cap-cf2e1d9dd3cfa292fd8e,91,verified-sources,mcp_resource,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\mcp-app\src\server.ts,67c4449fa57497835442a341bdc2ac8c79c30b55f427fc311cb16f656ff6e4bf,registered callback present,registered in server; live resource/prompt listing not exercised,resource,expose_implementation,GET /v1/mcp/resources?uri=custody://verified-sources&source_id=cap-cf2e1d9dd3cfa292fd8e; POST /v1/mcp/resources/read,Phone: open the resource by URI in the Advocatio resource browser and inspect version/provenance.,Scoped agent resource read by authorized URI through the shared MCP client; resource listing/read must be exercised.,Registered MCP server/connection and URI contract; Task F remote identity/hash reconciliation pending.,"Live listing/read result, payload hash and remote registration parity are not independently verified here.","Task F compare remote resource identity/version/hash, then exercise GET listing and authorized POST read with provenance.","Task F reconcile remote resource by URI/ID/hash, then verify listing/read contract before exposing it in Advocatio."
cap-6c937ec48d1720d94973,115,release-status,mcp_resource,C:\Users\matts\.codex\plugins\cache\custody-guide-codex-local\family-court-toolkit-codex\2.0.0,2.0.0,C:\Users\matts\.codex\plugins\cache\custody-guide-codex-local\family-court-toolkit-codex\2.0.0\mcp-app\src\server.ts,d4b38af8c259fa3ad452d1f0ad481a74977bc309ec145abfc8c5e151aa192562,registered callback present,registered in server; live resource/prompt listing not exercised,resource,expose_implementation,GET /v1/mcp/resources?uri=custody://release-status&source_id=cap-6c937ec48d1720d94973; POST /v1/mcp/resources/read,Phone: open the resource by URI in the Advocatio resource browser and inspect version/provenance.,Scoped agent resource read by authorized URI through the shared MCP client; resource listing/read must be exercised.,Registered MCP server/connection and URI contract; Task F remote identity/hash reconciliation pending.,"Live listing/read result, payload hash and remote registration parity are not independently verified here.","Task F compare remote resource identity/version/hash, then exercise GET listing and authorized POST read with provenance.","Task F reconcile remote resource by URI/ID/hash, then verify listing/read contract before exposing it in Advocatio."
cap-0d9b91cc499b492fcf13,116,verified-sources,mcp_resource,C:\Users\matts\.codex\plugins\cache\custody-guide-codex-local\family-court-toolkit-codex\2.0.0,2.0.0,C:\Users\matts\.codex\plugins\cache\custody-guide-codex-local\family-court-toolkit-codex\2.0.0\mcp-app\src\server.ts,d4b38af8c259fa3ad452d1f0ad481a74977bc309ec145abfc8c5e151aa192562,registered callback present,registered in server; live resource/prompt listing not exercised,resource,expose_implementation,GET /v1/mcp/resources?uri=custody://verified-sources&source_id=cap-0d9b91cc499b492fcf13; POST /v1/mcp/resources/read,Phone: open the resource by URI in the Advocatio resource browser and inspect version/provenance.,Scoped agent resource read by authorized URI through the shared MCP client; resource listing/read must be exercised.,Registered MCP server/connection and URI contract; Task F remote identity/hash reconciliation pending.,"Live listing/read result, payload hash and remote registration parity are not independently verified here.","Task F compare remote resource identity/version/hash, then exercise GET listing and authorized POST read with provenance.","Task F reconcile remote resource by URI/ID/hash, then verify listing/read contract before exposing it in Advocatio."
cap-0624cf1929961a740b64,162,00-how-to-use-references,external_source_record,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\content\toolkit\ledger.json,4cba228160ffe62b09f0bfb50fa0401eeb41ba9ec169b72b8746508e75cc7b0d,curated source metadata record present,file ledger; Surreal source reader implemented; current remote row not verified,resource,import_reconcile,GET /v1/mcp/resources?uri=source:cap-0624cf1929961a740b64; POST /v1/mcp/resources/read,Phone: browse the versioned source record and open its recorded URL in the Advocatio resource/source view.,Scoped agent resource read of the versioned source record through the shared MCP client; URL retrieval remains separately authorized.,Existing remote source row and ledger custody; Task F ID/hash reconciliation pending; source metadata is not validated law.,Current remote row identity/content hash and currentness status are not independently verified here.,"Task F compare source ID, source hash, origin/version and remote row; then verify URL and authority/currentness separately.",Task F reconcile remote source row by ID/hash before any import or reuse; preserve ledger status and do not treat this record as legal validation.
cap-9f2feb5946ab13b68ef9,163,42-cfr-part-2,external_source_record,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\content\toolkit\ledger.json,4cba228160ffe62b09f0bfb50fa0401eeb41ba9ec169b72b8746508e75cc7b0d,curated source metadata record present,file ledger; Surreal source reader implemented; current remote row not verified,resource,import_reconcile,GET /v1/mcp/resources?uri=source:cap-9f2feb5946ab13b68ef9; POST /v1/mcp/resources/read,Phone: browse the versioned source record and open its recorded URL in the Advocatio resource/source view.,Scoped agent resource read of the versioned source record through the shared MCP client; URL retrieval remains separately authorized.,Existing remote source row and ledger custody; Task F ID/hash reconciliation pending; source metadata is not validated law.,Current remote row identity/content hash and currentness status are not independently verified here.,"Task F compare source ID, source hash, origin/version and remote row; then verify URL and authority/currentness separately.",Task F reconcile remote source row by ID/hash before any import or reuse; preserve ledger status and do not treat this record as legal validation.
cap-e1bc97030c8c72083b6f,164,aft-michigan-project-veritas,external_source_record,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\content\toolkit\ledger.json,4cba228160ffe62b09f0bfb50fa0401eeb41ba9ec169b72b8746508e75cc7b0d,curated source metadata record present,file ledger; Surreal source reader implemented; current remote row not verified,resource,import_reconcile,GET /v1/mcp/resources?uri=source:cap-e1bc97030c8c72083b6f; POST /v1/mcp/resources/read,Phone: browse the versioned source record and open its recorded URL in the Advocatio resource/source view.,Scoped agent resource read of the versioned source record through the shared MCP client; URL retrieval remains separately authorized.,Existing remote source row and ledger custody; Task F ID/hash reconciliation pending; source metadata is not validated law.,Current remote row identity/content hash and currentness status are not independently verified here.,"Task F compare source ID, source hash, origin/version and remote row; then verify URL and authority/currentness separately.",Task F reconcile remote source row by ID/hash before any import or reuse; preserve ledger status and do not treat this record as legal validation.
cap-a2f8bc8e0bd771d4a15c,165,audit-deep-research-source-audit-2026-08-09,external_source_record,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\content\toolkit\ledger.json,4cba228160ffe62b09f0bfb50fa0401eeb41ba9ec169b72b8746508e75cc7b0d,curated source metadata record present,file ledger; Surreal source reader implemented; current remote row not verified,resource,import_reconcile,GET /v1/mcp/resources?uri=source:cap-a2f8bc8e0bd771d4a15c; POST /v1/mcp/resources/read,Phone: browse the versioned source record and open its recorded URL in the Advocatio resource/source view.,Scoped agent resource read of the versioned source record through the shared MCP client; URL retrieval remains separately authorized.,Existing remote source row and ledger custody; Task F ID/hash reconciliation pending; source metadata is not validated law.,Current remote row identity/content hash and currentness status are not independently verified here.,"Task F compare source ID, source hash, origin/version and remote row; then verify URL and authority/currentness separately.",Task F reconcile remote source row by ID/hash before any import or reuse; preserve ledger status and do not treat this record as legal validation.
cap-36c99daeba2acdcbd2f1,166,audit-form-and-supplement-drift,external_source_record,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\content\toolkit\ledger.json,4cba228160ffe62b09f0bfb50fa0401eeb41ba9ec169b72b8746508e75cc7b0d,curated source metadata record present,file ledger; Surreal source reader implemented; current remote row not verified,resource,import_reconcile,GET /v1/mcp/resources?uri=source:cap-36c99daeba2acdcbd2f1; POST /v1/mcp/resources/read,Phone: browse the versioned source record and open its recorded URL in the Advocatio resource/source view.,Scoped agent resource read of the versioned source record through the shared MCP client; URL retrieval remains separately authorized.,Existing remote source row and ledger custody; Task F ID/hash reconciliation pending; source metadata is not validated law.,Current remote row identity/content hash and currentness status are not independently verified here.,"Task F compare source ID, source hash, origin/version and remote row; then verify URL and authority/currentness separately.",Task F reconcile remote source row by ID/hash before any import or reuse; preserve ledger status and do not treat this record as legal validation.
cap-4ed0957f4112fc5f166e,167,audit-high-risk-gaps,external_source_record,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\content\toolkit\ledger.json,4cba228160ffe62b09f0bfb50fa0401eeb41ba9ec169b72b8746508e75cc7b0d,curated source metadata record present,file ledger; Surreal source reader implemented; current remote row not verified,resource,import_reconcile,GET /v1/mcp/resources?uri=source:cap-4ed0957f4112fc5f166e; POST /v1/mcp/resources/read,Phone: browse the versioned source record and open its recorded URL in the Advocatio resource/source view.,Scoped agent resource read of the versioned source record through the shared MCP client; URL retrieval remains separately authorized.,Existing remote source row and ledger custody; Task F ID/hash reconciliation pending; source metadata is not validated law.,Current remote row identity/content hash and currentness status are not independently verified here.,"Task F compare source ID, source hash, origin/version and remote row; then verify URL and authority/currentness separately.",Task F reconcile remote source row by ID/hash before any import or reuse; preserve ledger status and do not treat this record as legal validation.
cap-2236f58026c5467a394a,168,audit-mifile-nonlisting,external_source_record,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\content\toolkit\ledger.json,4cba228160ffe62b09f0bfb50fa0401eeb41ba9ec169b72b8746508e75cc7b0d,curated source metadata record present,file ledger; Surreal source reader implemented; current remote row not verified,resource,import_reconcile,GET /v1/mcp/resources?uri=source:cap-2236f58026c5467a394a; POST /v1/mcp/resources/read,Phone: browse the versioned source record and open its recorded URL in the Advocatio resource/source view.,Scoped agent resource read of the versioned source record through the shared MCP client; URL retrieval remains separately authorized.,Existing remote source row and ledger custody; Task F ID/hash reconciliation pending; source metadata is not validated law.,Current remote row identity/content hash and currentness status are not independently verified here.,"Task F compare source ID, source hash, origin/version and remote row; then verify URL and authority/currentness separately.",Task F reconcile remote source row by ID/hash before any import or reuse; preserve ledger status and do not treat this record as legal validation.
cap-34f2779843d5128682c9,169,audit-primary-text-access-limits,external_source_record,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\content\toolkit\ledger.json,4cba228160ffe62b09f0bfb50fa0401eeb41ba9ec169b72b8746508e75cc7b0d,curated source metadata record present,file ledger; Surreal source reader implemented; current remote row not verified,resource,import_reconcile,GET /v1/mcp/resources?uri=source:cap-34f2779843d5128682c9; POST /v1/mcp/resources/read,Phone: browse the versioned source record and open its recorded URL in the Advocatio resource/source view.,Scoped agent resource read of the versioned source record through the shared MCP client; URL retrieval remains separately authorized.,Existing remote source row and ledger custody; Task F ID/hash reconciliation pending; source metadata is not validated law.,Current remote row identity/content hash and currentness status are not independently verified here.,"Task F compare source ID, source hash, origin/version and remote row; then verify URL and authority/currentness separately.",Task F reconcile remote source row by ID/hash before any import or reuse; preserve ledger status and do not treat this record as legal validation.
cap-53fbfd091a6a487f01bd,170,audit-recording-doctrine,external_source_record,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\content\toolkit\ledger.json,4cba228160ffe62b09f0bfb50fa0401eeb41ba9ec169b72b8746508e75cc7b0d,curated source metadata record present,file ledger; Surreal source reader implemented; current remote row not verified,resource,import_reconcile,GET /v1/mcp/resources?uri=source:cap-53fbfd091a6a487f01bd; POST /v1/mcp/resources/read,Phone: browse the versioned source record and open its recorded URL in the Advocatio resource/source view.,Scoped agent resource read of the versioned source record through the shared MCP client; URL retrieval remains separately authorized.,Existing remote source row and ledger custody; Task F ID/hash reconciliation pending; source metadata is not validated law.,Current remote row identity/content hash and currentness status are not independently verified here.,"Task F compare source ID, source hash, origin/version and remote row; then verify URL and authority/currentness separately.",Task F reconcile remote source row by ID/hash before any import or reuse; preserve ledger status and do not treat this record as legal validation.
cap-ecd177758fdbb36a61d3,171,audit-roster-conflicts,external_source_record,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\content\toolkit\ledger.json,4cba228160ffe62b09f0bfb50fa0401eeb41ba9ec169b72b8746508e75cc7b0d,curated source metadata record present,file ledger; Surreal source reader implemented; current remote row not verified,resource,import_reconcile,GET /v1/mcp/resources?uri=source:cap-ecd177758fdbb36a61d3; POST /v1/mcp/resources/read,Phone: browse the versioned source record and open its recorded URL in the Advocatio resource/source view.,Scoped agent resource read of the versioned source record through the shared MCP client; URL retrieval remains separately authorized.,Existing remote source row and ledger custody; Task F ID/hash reconciliation pending; source metadata is not validated law.,Current remote row identity/content hash and currentness status are not independently verified here.,"Task F compare source ID, source hash, origin/version and remote row; then verify URL and authority/currentness separately.",Task F reconcile remote source row by ID/hash before any import or reuse; preserve ledger status and do not treat this record as legal validation.
