"legal_desktop_path","application_path","sha256","bytes"
"Sources and skills/appellate-formatting.zip","docs/planning/original-context/Source zips/appellate-formatting.zip","0F6FCCA8ED58B3E5F79B59D8E58F950FE99D22A8DFC13B5E41C33105120F79D1","9048"
"Sources and skills/appellate-mandate.zip","docs/planning/original-context/Source zips/appellate-mandate.zip","3DD6702245591D95D2550F697CC8A7841C3364C9C9A06FB1A666C0D4747479D6","5310"
"Sources and skills/Casememory — M0–M3 Scaffold.md","docs/planning/original-context/Source zips/Casememory — M0–M3 Scaffold.md","7B549391B3FB97E1E38C6E65EDDBE93C40D899764EF45EACD29AE84B28AD399F","59110"
"Sources and skills/Casememory — M0–M3 Scaffold.md","docs/planning/original-context/context/Casememory — M0–M3 Scaffold.md","7B549391B3FB97E1E38C6E65EDDBE93C40D899764EF45EACD29AE84B28AD399F","59110"
"Sources and skills/claude-power-skills-main.zip","docs/planning/original-context/Source zips/claude-power-skills-main.zip","F9F42D7B2E84362EFB2E801101D093FB1946C7D83A3C169EC72F3410564F14B6","89909"
"Sources and skills/cold-start-interview.zip","docs/planning/original-context/Source zips/cold-start-interview.zip","8F6194FA0844A3BFDF3B16EF04C5A96CB3E3A67DC85E8DE8A1017930FD410D3F","47740"
"Sources and skills/custodyguide_v1complete_20260812.zip","docs/planning/original-context/Source zips/custodyguide_v1complete_20260812.zip","D97F9C76DF0BED4BF5DF894475FE644C7E75CEEC0CA094C72C1A27203F3C8D55","27795631"
"Sources and skills/decision-record-verification.zip","docs/planning/original-context/Source zips/decision-record-verification.zip","BE2D6F96110F91B7512B52C5AFEE1026C9825084DB931B1CB0ABBDCF5FFC230D","4922"
"Sources and skills/duckdb-data-explorer.zip","docs/planning/original-context/Source zips/duckdb-data-explorer.zip","83459AB13E6B1ECC62BE009D53789DFA5F50F8ECE69160372852E40C119F8DCB","14541"
"Sources and skills/FM16frontmatter.md","docs/planning/original-context/Source zips/FM16frontmatter.md","8083B81438DF396F3C4858D9D147495899C51A916D101B61075CFCF3F2D7025E","23031"
"Sources and skills/FM16frontmatter.md","docs/planning/original-context/skills/CURATED-custodyguide_v1/Projects/custody-guide/draft/FM-1-6-front-matter.md","8083B81438DF396F3C4858D9D147495899C51A916D101B61075CFCF3F2D7025E","23031"
"Sources and skills/FM16frontmatter.md","docs/planning/original-context/main-donor-inspiration-content/custodyguide_v1complete_20260812/Projects/custody-guide/draft/FM-1-6-front-matter.md","8083B81438DF396F3C4858D9D147495899C51A916D101B61075CFCF3F2D7025E","23031"
"Sources and skills/FM16frontmatter.md","docs/planning/original-context/context/FM16frontmatter.md","8083B81438DF396F3C4858D9D147495899C51A916D101B61075CFCF3F2D7025E","23031"
"Sources and skills/generate-hypothetical-scotus-ruling.zip","docs/planning/original-context/Source zips/generate-hypothetical-scotus-ruling.zip","1734A8252D976A533FF6982553F73E759292803AC87EA6CE883AEDCD330AF79F","5338"
"Sources and skills/hallucination-taxonomy.zip","docs/planning/original-context/Source zips/hallucination-taxonomy.zip","0C209DB816C489686F72FB5AD1F917D0F33BA3811367444B33BC36119BB3342B","4423"
"Sources and skills/irac-practice.zip","docs/planning/original-context/Source zips/irac-practice.zip","880B2AED3667B800A752EBBCA7BB5B89A5B7C60C86FD019A9A38926F8731DB76","10693"
"Sources and skills/Legal guidance.zip","docs/planning/original-context/Source zips/Legal guidance.zip","0D2499D7B1609D0F367805354CB38538A9A2579F86C8371942572C3CDD11F862","45732"
"Sources and skills/legal-mcp-main.zip","docs/planning/original-context/Source zips/legal-mcp-main.zip","2478DE5DA721CE3A127A8F8601CB1262051B3FFC650CFEBBF4C2736F81F47AAC","148005"
"Sources and skills/legal-terminal-main.zip","docs/planning/original-context/Source zips/legal-terminal-main.zip","31A405D68BEC16BCAD48350CC669932896B531A0B2CB46E90DC2F58F07D22F96","6734938"
"Sources and skills/legal-terminal-master.zip","docs/planning/original-context/Source zips/legal-terminal-master.zip","8D9B7BFDCFDEF5CCCCC122BCAC092698F81C4041F52D48A8D137DE85932FB57D","1492661"
"Sources and skills/LexRAG-main.zip","docs/planning/original-context/Source zips/LexRAG-main.zip","ADB737AA2589EB745DE0848E063DF0FF8281A555A905FAC629C1ADF272AEEBA0","1527564"
"Sources and skills/LIGHT-2-main.zip","docs/planning/original-context/Source zips/LIGHT-2-main.zip","135595231D9FF7424EF4118FEBBE74A2B9F6109F810684004B95434A97995680","21371142"
"Sources and skills/M1casestagejurisdictiontriage.md","docs/planning/original-context/Source zips/M1casestagejurisdictiontriage.md","82FC9B7DD1A1C0EE73679DC6DDCF1821949D5D19B7060B73D5E63B363F0CCFA8","13998"
"Sources and skills/M1casestagejurisdictiontriage.md","docs/planning/original-context/skills/CURATED-custodyguide_v1/Projects/custody-guide/draft/M1-case-stage-jurisdiction-triage.md","82FC9B7DD1A1C0EE73679DC6DDCF1821949D5D19B7060B73D5E63B363F0CCFA8","13998"
"Sources and skills/M1casestagejurisdictiontriage.md","docs/planning/original-context/main-donor-inspiration-content/custodyguide_v1complete_20260812/Projects/custody-guide/draft/M1-case-stage-jurisdiction-triage.md","82FC9B7DD1A1C0EE73679DC6DDCF1821949D5D19B7060B73D5E63B363F0CCFA8","13998"
"Sources and skills/M1casestagejurisdictiontriage.md","docs/planning/original-context/context/M1casestagejurisdictiontriage.md","82FC9B7DD1A1C0EE73679DC6DDCF1821949D5D19B7060B73D5E63B363F0CCFA8","13998"
"Sources and skills/M2standardsthatdecideyourcase.md","docs/planning/original-context/Source zips/M2standardsthatdecideyourcase.md","15021D0DE0DCDEFFDF1DAC9A998A03E5F634113EC96651BE017EFA3EADB609D7","24471"
"Sources and skills/M2standardsthatdecideyourcase.md","docs/planning/original-context/skills/CURATED-custodyguide_v1/Projects/custody-guide/draft/M2-standards-that-decide-your-case.md","15021D0DE0DCDEFFDF1DAC9A998A03E5F634113EC96651BE017EFA3EADB609D7","24471"
"Sources and skills/M2standardsthatdecideyourcase.md","docs/planning/original-context/main-donor-inspiration-content/custodyguide_v1complete_20260812/Projects/custody-guide/draft/M2-standards-that-decide-your-case.md","15021D0DE0DCDEFFDF1DAC9A998A03E5F634113EC96651BE017EFA3EADB609D7","24471"
"Sources and skills/M2standardsthatdecideyourcase.md","docs/planning/original-context/context/M2standardsthatdecideyourcase.md","15021D0DE0DCDEFFDF1DAC9A998A03E5F634113EC96651BE017EFA3EADB609D7","24471"
"Sources and skills/OpenLegalDataSkills-main.zip","docs/planning/original-context/Source zips/OpenLegalDataSkills-main.zip","19A90D8066BFD1332CFD95CF9A019F61E388A66A7DD63B57C28799799EF2A82C","150884"
"Sources and skills/plain-english.zip","docs/planning/original-context/Source zips/plain-english.zip","8E9165CBA4B958FB952C4DBD13E754B5DF00E7B27FFE43D70E0FA4B7C2682830","9741"
"Sources and skills/precedent.zip","docs/planning/original-context/Source zips/precedent.zip","0390AA1AB667A40780C528045AC7673F3AFD8B1568F3A06164C17E026B56CE9B","20946"
"Sources and skills/quality-checker.zip","docs/planning/original-context/Source zips/quality-checker.zip","FBD09E0F38A56EF58352BF64631C7BA6366D81E36E174E45D17072F4FA9C4400","4178"
"Sources and skills/research-start.zip","docs/planning/original-context/Source zips/research-start.zip","A2D2A84907AE74C1674A7F3D8BB499D3B2E9DF09BA2099CD97E00C4B5480D215","10567"
"Sources and skills/sequential-react-ship skill.zip","docs/planning/original-context/Source zips/sequential-react-ship skill.zip","F26BE82A899B9CBB88935DCF36AABCA04959282D7A3D414BC54A416EEACD22C0","15388"
"Sources and skills/singularity-judicial-intelligence.zip","docs/planning/original-context/Source zips/singularity-judicial-intelligence.zip","C19048C9886FC2A941D406D90D88BECC38C5BC7234A3B9A970893A7AC157FCD1","23243"
