"side","path","bytes","sha256","creation_utc","modified_utc"
"application",".env.example","1966","7F94599094BEB5C50BC9B7337D13A60B6DA2F9D59AD35E6A556C68D54438E4BB","2026-08-19T09:27:29.4181078Z","2026-09-12T19:13:55.5246961Z"
"application",".gitignore","1419","9B188A234E41041B716C9841A1E97AACBADDA03457870DC6DF01F12A306144B7","2026-08-18T23:57:35.3198776Z","2026-09-12T19:07:32.7901291Z"
"application","AGENT_MEMORY.md","2100","C11EA3E2AED79A2416EB330879F087F86EE4E8B93AF76C6BF75EA23C4BFE045A","2026-08-27T22:37:42.0601205Z","2026-09-06T19:23:44.8487898Z"
"application","AGENTS.md","7781","C5D7EE0B67FC3AFD0251C24B59847FC9747D2FF5F40985C634FF9E6DED126460","2026-08-18T12:19:40.5822449Z","2026-09-06T19:23:44.8462759Z"
"application","CLAUDE.md","75","9FAC4BB327D63AAB14CF6BD7831F5843AA7C0EFBA068966793E89C1911F63F6A","2026-08-27T22:37:42.0626232Z","2026-08-27T23:02:32.2361148Z"
"application","compose.yaml","4082","01A6037E41875B98079B822405C7FFC48033162804BFE2380F72DDAACC8A07E7","2026-08-19T03:41:56.6687841Z","2026-09-12T19:13:55.5231179Z"
"application","pyproject.toml","1057","B3B76229EF189F554CEA653EAF977A20366013664D464FAA42CF3A08BC0BD930","2026-08-18T12:22:10.4696547Z","2026-09-12T19:10:28.1594145Z"
"application","README.md","3179","CF3C1C5135F39C89BA17E34369DAC682F4E64B085A011BC3E45920BA1CE46C01","2026-08-18T12:19:40.6018332Z","2026-09-06T19:23:44.8417609Z"
"application","uv.lock","278769","D9121FF3D92D5B18C98B04CEFA245531EFBF508122BBEAA47FA0105A871D2B4A","2026-08-18T12:38:52.3145852Z","2026-09-12T19:11:07.1629886Z"
"application","web/AGENTS.md","678","63F2C50380ED6303237CCE215CE27AF1D620D094C215E28D1B1538A3C070E3BB","2026-09-12T19:19:22.3881345Z","2026-09-12T19:19:22.3928168Z"
