side,path,bytes,sha256,creation_utc,modified_utc
Legal-desktop,artifacts (3).zip,60592,B3366F97A1A6985D5DB917D4B1EF87B84C13960272A166CBB47AA72C11BE4488,2026-08-18T12:05:50.2974496Z,2026-08-18T12:06:26.5520213Z
Legal-desktop,donors/trusted-sources/trusted-sources/SKILL.md,13400,F317122F582B8300C2FBD025B3A3A6298046E0BB8CFD8A40D1AF6A962C415A88,2026-08-18T12:18:47.9001762Z,2026-08-18T12:18:47.9001762Z
Legal-desktop,donors/singularity-judicial-intelligence/singularity-judicial-intelligence/SKILL.md,22917,86F841F341F4D7E6CC438D0FD51656A76D9619E0446EC8269EF3AE61DB5E45EE,2026-08-18T12:18:47.9001762Z,2026-08-18T12:18:47.9001762Z
Legal-desktop,donors/research-start/research-start/SKILL.md,10317,32FB9DCCC923BBE73063E61FBE885997C8F5397CDBC33FF469639E54C5311564,2026-08-18T12:18:47.8916621Z,2026-08-18T12:18:47.8916621Z
Legal-desktop,donors/precedent/precedent/SKILL.md,2284,85F9523D688D38BCFC836017FB12E582EAF92E04FA55632A55B8D7F508B34B69,2026-08-18T12:18:47.8855280Z,2026-08-18T12:18:47.8855280Z
Legal-desktop,donors/precedent/precedent/scripts/script.sh,18190,64374727A0DCE3A7ACE2B747E4EBDB06C72440BC2561C1F9EAE829FABCB504E8,2026-08-18T12:18:47.8855280Z,2026-08-18T12:18:47.8875695Z
Legal-desktop,donors/plain-english/plain-english/SKILL.md,9495,5DE8C8714E95758D5B336A4AB009875AF5C3823122B1318D58A223342F53CD17,2026-08-18T12:18:47.8814245Z,2026-08-18T12:18:47.8814245Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/index.html,16985,C0B736FD863E39AC1AFC0D666F1905AFAFF9769D913AA7F580A75900D19EA520,2026-08-18T12:18:44.6865720Z,2026-08-18T12:18:44.6865720Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/package.json,254,19A71ACC02D606C9CC91131092FEE9F6054A49C6BF6271765533811397C703BB,2026-08-18T12:18:44.6865720Z,2026-08-18T12:18:44.6865720Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/README.md,1392,A55833250B584EB0CE6F715BB4A9BFB28F3FE843275A28895CBB0CF3A22EA089,2026-08-18T12:18:44.6804526Z,2026-08-18T12:18:44.6804526Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/script.js,1164,EB0B481BF69C0322E907ABEF769DA2A3B358051C460F4DE45704DB14EA2096EF,2026-08-18T12:18:44.7148187Z,2026-08-18T12:18:44.7148187Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/styles.css,25032,DF492E4931B2C5AE0BA32C2EC24A486204C565D36ED2CB2F8F6FC5A111F0853B,2026-08-18T12:18:44.7276060Z,2026-08-18T12:18:44.7276060Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/terms.html,19160,6BD74CC5304961D69B399A919454D9577035A8CC22C62DA2BEE345A96AC79BD2,2026-08-18T12:18:44.7276060Z,2026-08-18T12:18:44.7276060Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/TESTING.md,4043,B1D15339BFC56FEACA76BB230F00C04986EFC734AF49545FE77E2B743B8C1DA5,2026-08-18T12:18:44.6804526Z,2026-08-18T12:18:44.6824927Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/tests/site.test.mjs,3540,6F408BE2EEB02BD60E9BA7DEAE76DE12127BAD10E0C57EE5DBD4ED8A823D2D12,2026-08-18T12:18:44.7276060Z,2026-08-18T12:18:44.7276060Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/scripts/dev-server.mjs,1366,44E0523427607A538D51FF4051DEACE97840D0203EDD91AAB905464AEBCAFF8E,2026-08-18T12:18:44.7148187Z,2026-08-18T12:18:44.7276060Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/plugins/openlegaldata/LICENSE,5366,9ECF28F332E9187FB0B29EE1568FB7A6D5E846F9E9E75AD6EC8108EDB47F8073,2026-08-18T12:18:44.6962017Z,2026-08-18T12:18:44.6962017Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/plugins/openlegaldata/skills/legal-world/SKILL.md,3617,01172633A84D8F3EE0D2E207AE9FFBF2A3613F7DE6D834F4E86C0A875144F5ED,2026-08-18T12:18:44.7148187Z,2026-08-18T12:18:44.7148187Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/plugins/openlegaldata/skills/legal-statutes/SKILL.md,3377,09F9F860CFB5547A40A0CAAA37CE2BF4E4A0D18DACE32A72579713837250867F,2026-08-18T12:18:44.7148187Z,2026-08-18T12:18:44.7148187Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/plugins/openlegaldata/skills/legal-contracts/SKILL.md,3658,0675A7693A7AE4168A915D4A929AFDF9FC4EFD82A1647EC3BC29ED669E3A4EFC,2026-08-18T12:18:44.7148187Z,2026-08-18T12:18:44.7148187Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/plugins/openlegaldata/skills/legal-citations/SKILL.md,8092,630D217935127C6A8A06E6E0CD529EE06DB56332153003E33946A18DD8074258,2026-08-18T12:18:44.7148187Z,2026-08-18T12:18:44.7148187Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/plugins/openlegaldata/skills/legal-caselaw/SKILL.md,6910,6275FF1F343C15B402A8F5616FC8B54FD2D1E3A635D6F4775589EEC74999BC7A,2026-08-18T12:18:44.7119261Z,2026-08-18T12:18:44.7119261Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/plugins/openlegaldata/skills/legal-caselaw/references/edge-classification.prompt.md,3614,642A3DB69C302BDA7F9F784CA185E8AFF1B24A221AB86BC2AE5F3862F4CC7227,2026-08-18T12:18:44.7148187Z,2026-08-18T12:18:44.7148187Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/plugins/openlegaldata/skills/legal-caselaw/references/hitl-workflow.md,4336,F80B5195F3E24623C316799ABFB0EEEFC9F36A6E58CF37034D87D3A87C86DFA3,2026-08-18T12:18:44.7148187Z,2026-08-18T12:18:44.7148187Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/plugins/openlegaldata/skills/legal-caselaw/references/writeback-api.md,5423,257A42CCA7C2F4E3341AF34EED62AECDF3631C78B2A4F23256C1B6A6EB18679F,2026-08-18T12:18:44.7148187Z,2026-08-18T12:18:44.7148187Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/plugins/openlegaldata/skills/legal-caselaw/_lib/related_precedents.py,14114,8CB46EFECFC69606D2F88CF1B0439767AFBC03DC0D3219B2DEBCAFB844D3B2A1,2026-08-18T12:18:44.7119261Z,2026-08-18T12:18:44.7148187Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/plugins/openlegaldata/skills/_lib/islands.json,11058,E603FD80EE9A65F914F906FC24FA82E6997A1FB2C4CF7656A9188752C25B423B,2026-08-18T12:18:44.6962017Z,2026-08-18T12:18:44.6962017Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/plugins/openlegaldata/skills/_lib/legal_search.py,11595,F60D40ACE7E1B0DB13036617B0659C0A12316AB9444EC0FFCD75E222AAE9F621,2026-08-18T12:18:44.6962017Z,2026-08-18T12:18:44.6962017Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/plugins/openlegaldata/.claude-plugin/plugin.json,439,C5FD39B06A8078CC82AE1CB9D9A1B4042AA9997DE5F52B12AE63C13F3641FF20,2026-08-18T12:18:44.6962017Z,2026-08-18T12:18:44.6962017Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/dist/legal-caselaw.zip,11180,26F20C1ECCC8BBAD617CF62E9815D9916011895FBB2A8E3EBA6B8E351AC1F44D,2026-08-18T12:18:44.6824927Z,2026-08-18T12:18:44.6845315Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/dist/legal-citations.zip,13150,159F4122A72B0F1911EFE8CFC3992E4E55F6B99387718E99D1DF80CA1F5BF55A,2026-08-18T12:18:44.6845315Z,2026-08-18T12:18:44.6845315Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/dist/legal-contracts.zip,10830,60F871731E757EE12D03CE745B5D28C45010109B40AFD425A6D81F8D2956104E,2026-08-18T12:18:44.6865720Z,2026-08-18T12:18:44.6865720Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/dist/legal-statutes.zip,10711,833F77B3A61F46693FABCB08FD469E17C383D8E214083D17F7BD51D0827FDB6A,2026-08-18T12:18:44.6865720Z,2026-08-18T12:18:44.6865720Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/dist/legal-world.zip,10889,23CDAB166D96A609BC40AA2661DCB5E1ED66B1672382ED9166800E62E37B73E0,2026-08-18T12:18:44.6865720Z,2026-08-18T12:18:44.6865720Z
